OriginalSalePrice,PredictedSalePrice
118964,112871
81500,79406
175000,132082
321000,292252
102000,132666
160000,110139
124000,103317
160000,172878
249700,239229
470000,369708
275000,260650
189500,192887
136000,129413
127000,116287
232698,235559
183500,169507
220000,208489
120500,134655
197000,194077
398800,351091
141500,126193
157500,137916
173500,181919
97000,102776
176000,168956
108500,91734
96500,70268
185088,210641
485000,422437
257076,199688
143500,173195
192000,205591
244400,211197
125600,110215
218000,183032
76500,134714
143000,116588
164000,227612
140000,138983
317000,288718
237000,227084
125000,176875
191000,187738
169000,190577
161000,120052
269500,271413
143750,156399
80000,66243
131900,130276
109000,136586
110000,130611
157900,162785
85000,71421
85500,85908
280750,275989
213000,216664
207500,213817
275000,291128
239900,233181
165000,157486
162000,160913
169000,173481
129000,132033
200000,220509
176432,180670
260000,258521
200000,228186
99900,91643
250000,242498
325300,288614
119000,102404
188000,185093
119750,120306
111900,100659
124500,127271
382500,356570
143000,146552
462000,427171
144000,139394
131400,129784
205000,219495
90500,75429
214000,227809
82500,62940
149900,149076
145000,163605
157500,183383
119500,116763
284500,286506
160000,136381
150000,157816
213500,213388
196500,186283
274970,206930
120000,149330
270000,277602
372402,318545
160000,844743
156450,137168
111750,105457
157900,144124
313000,319974
405000,380997
228000,232969
128000,106790
136000,147001
213000,206830
119000,108852
213000,210974
160000,153050
137900,184306
235000,238028
133000,155676
196500,213474
160000,123523
138000,136003
125000,117017
195000,242855
203000,227524
274725,241666
139000,141994
215000,225674
124000,123805
82375,67511
415000,385295
175900,167452
140500,148169
153500,118749
222000,243882
178000,175046
137000,141789
215000,190517
282000,333347
119500,119427
188000,198563
139500,148233
220000,224512
153000,149174
125000,134088
235500,223920
146000,177346
275000,276360
128500,122920
112000,138691
125000,124092
315000,335770
174000,150195
149000,135904
337000,325833
97000,118056
131500,154075
183000,167879
148000,136877
108480,101444
167000,202774
186500,192164
207000,239449
218000,242850
135000,132825
152000,181802
135000,129956
81400,60954
129900,133833
173000,174024
136000,142497
207500,211855
241500,198212
180000,189671
584500,439177
129900,106510
146000,137407
146000,146594
118500,134184
129000,140472
172000,167924
385000,422130
155000,142153
270000,279187
123000,106706
110000,112764
118000,87312
201000,203144
112900,105897
124000,139778
287000,274671
72500,50879
174500,167092
250580,202371
244600,240076
130000,140404
139000,145608
151400,208282
121500,182592
279900,269947
160000,162634
208900,188790
89500,132962
320000,275284
286000,291327
102000,104316
190550,198740
163500,158830
80000,89448
193800,214437
225000,234682
128500,148674
211000,237182
221370,196180
165000,121602
248500,252921
65000,75150
147500,143640
290000,283287
150000,160665
132000,157553
241500,236007
185900,203242
158000,158102
148000,165458
239500,243081
135000,166295
140000,144359
144000,140611
188000,173467
119900,121453
123000,114298
123600,121518
160000,183984
189000,201464
155000,150066
221500,228466
253000,253470
149500,165137
139900,139461
135000,130880
87500,119542
173000,182023
110500,138735
188500,193495
132500,128519
141000,118625
745000,504702
207000,221259
156932,167824
195400,201240
193000,218399
270000,266619
372000,331609
168000,154207
230000,230380
235000,235402
156500,168234
127000,115231
241600,232907
163000,146772
179900,165193
