OriginalSalePrice,PredictedSalePrice
118964,108466
81500,82373
175000,136289
321000,292279
102000,135379
160000,108631
124000,105912
160000,173116
249700,238146
470000,369644
275000,260322
189500,193180
136000,132225
127000,118815
232698,233459
183500,172840
220000,209034
120500,129869
197000,191097
398800,349954
141500,121557
157500,145026
173500,184250
97000,100607
176000,167331
108500,95882
96500,66966
185088,213080
485000,424957
257076,204987
143500,169779
192000,206690
244400,210267
125600,109876
218000,184247
76500,129862
143000,112550
164000,231519
140000,140794
317000,290455
237000,225147
125000,174408
191000,187744
169000,194376
161000,119858
269500,270421
143750,157000
80000,66185
131900,131850
109000,134837
110000,127408
157900,155737
85000,71550
85500,91710
280750,279246
213000,214535
207500,212108
275000,291384
239900,233360
165000,158757
162000,163367
169000,175027
129000,129390
200000,220825
176432,181991
260000,256870
200000,227764
99900,97540
250000,244264
325300,289539
119000,106823
188000,184936
119750,124925
111900,100241
124500,124387
382500,357586
143000,143625
462000,429508
144000,143270
131400,128041
205000,218600
90500,77083
214000,232327
82500,61080
149900,149886
145000,159766
157500,186436
119500,115306
284500,288581
160000,137747
150000,158723
213500,212001
196500,180581
274970,212347
120000,147038
270000,280977
372402,320868
160000,845182
156450,136737
111750,104899
157900,142830
313000,321258
405000,380220
228000,232217
128000,107956
136000,150497
213000,206229
119000,109792
213000,208649
160000,155273
137900,185815
235000,234056
133000,156370
196500,216860
160000,125632
138000,136775
125000,113119
195000,245961
203000,226337
274725,242309
139000,150146
215000,224937
124000,123052
82375,66192
415000,383668
175900,169080
140500,146332
153500,116360
222000,243628
178000,173544
137000,142092
215000,190527
282000,336501
119500,120751
188000,199345
139500,149471
220000,222511
153000,151770
125000,134814
235500,222535
146000,178244
275000,275306
128500,121134
112000,135814
125000,126844
315000,337102
174000,151976
149000,134839
337000,324852
97000,117369
131500,154575
183000,169200
148000,140329
108480,98112
167000,207972
186500,190233
207000,239418
218000,242917
135000,128020
152000,179043
135000,130604
81400,51941
129900,135312
173000,175262
136000,144252
207500,211719
241500,198226
180000,190641
584500,439714
129900,103515
146000,134548
146000,145572
118500,130314
129000,139352
172000,163057
385000,425898
155000,143202
270000,281575
123000,107248
110000,117033
118000,95431
