OriginalSalePrice,PredictedSalePrice
118964,119389
81500,178460
175000,178460
321000,178460
102000,178407
160000,178460
124000,178460
160000,178460
249700,178468
470000,178460
275000,178460
189500,178460
136000,178460
127000,158244
232698,178656
183500,178460
220000,178452
120500,178460
197000,181858
398800,178460
141500,178460
157500,178460
173500,178477
97000,178460
176000,178460
108500,177822
96500,178459
185088,178753
485000,178460
257076,178460
143500,178460
192000,178336
244400,178460
125600,178460
218000,178460
76500,178460
143000,178354
164000,178460
140000,178460
317000,178460
237000,178462
125000,178460
191000,178468
169000,178460
161000,178452
269500,178460
143750,143354
80000,178459
131900,178458
109000,173429
110000,178460
157900,178460
85000,178460
85500,178460
280750,178460
213000,178466
207500,178460
275000,178460
239900,178460
165000,178460
162000,178460
169000,178460
129000,178460
200000,178583
176432,178436
260000,178460
200000,178462
99900,178460
250000,178516
325300,178463
119000,178460
188000,178460
119750,176262
111900,178460
124500,178459
382500,178460
143000,178460
462000,178460
144000,178460
131400,178460
205000,178460
90500,99323
214000,178460
82500,117352
149900,177110
145000,178460
157500,178460
119500,178460
284500,178460
160000,177342
150000,178460
213500,178460
196500,178460
274970,178460
120000,178460
270000,178460
372402,178460
160000,178460
156450,178454
111750,178406
157900,178460
313000,178460
405000,178460
228000,178460
128000,178460
136000,178460
213000,178462
119000,172065
213000,178460
160000,178460
137900,178460
235000,178460
133000,150029
196500,178461
160000,178460
138000,178460
125000,178460
195000,178460
203000,178460
274725,178460
139000,178460
215000,178460
124000,178460
82375,178460
415000,178460
175900,178461
140500,178425
153500,178460
222000,178460
178000,178460
137000,178460
215000,180060
282000,178460
119500,178460
188000,178883
139500,178460
220000,178475
153000,178460
125000,178458
235500,178460
146000,178460
275000,178460
128500,178460
112000,178460
125000,178460
315000,178460
174000,178456
149000,178460
337000,178460
97000,178460
131500,157600
183000,178460
148000,178459
108480,178460
167000,178460
186500,179763
207000,178460
218000,178460
135000,177240
152000,178460
135000,177644
81400,178459
129900,174781
173000,178460
136000,178460
207500,178474
241500,178460
180000,178324
584500,178460
129900,178460
146000,178460
146000,178460
118500,178460
129000,177667
172000,178460
385000,178460
155000,178460
270000,178460
123000,178456
110000,169952
118000,178460
201000,178460
112900,178460
124000,178456
287000,178460
72500,178460
174500,178460
250580,187300
244600,178460
130000,178460
139000,178460
151400,178460
121500,178460
279900,178460
160000,178460
208900,178683
89500,178460
320000,178460
286000,178460
102000,178393
190550,178359
163500,178200
80000,178460
193800,178460
225000,178564
128500,178460
211000,178460
221370,178460
165000,178460
248500,178701
65000,178460
147500,178460
290000,178460
150000,178460
132000,178460
241500,178460
185900,178525
158000,178460
148000,178460
239500,178460
135000,178460
140000,178460
144000,178460
188000,178460
119900,178378
123000,178460
123600,177942
160000,178460
189000,178460
155000,178460
221500,178524
253000,179069
149500,178315
139900,178447
135000,178252
87500,178460
173000,178460
110500,178460
188500,178460
132500,178460
141000,178460
745000,178460
207000,178460
156932,178459
195400,188677
193000,178462
270000,178460
372000,178460
168000,169975
230000,178460
235000,178460
156500,178460
127000,178460
241600,178460
163000,178447
179900,178460
277000,178460
256000,178460
140000,178460
140000,142503
126500,178460
150000,178460
185900,178460
91500,178460
169985,173867
129500,178032
137500,130000
154900,178460
112000,178458
134900,178379
111250,178460
106500,155576
324000,178460
160500,178460
150000,178458
144000,178460
98000,178460
166800,178460
327000,178460
212500,178460
140000,178460
91000,178460
147000,178460
115000,178386
330000,178460
131000,178460
285000,178460
181000,178460
196000,178460
128000,178460
394617,178460
85000,178459
63000,178460
136500,178460
140000,178460
320000,178460
84900,178460
260000,178461
132250,178460
127500,178460
235000,178460
177000,178460
356000,178667
61000,178460
142600,178460
178000,178460
115000,178419
145000,178460
185000,178460
174000,178460
160500,178460
122900,178460
98000,178460
150000,178460
193000,178460
168000,178557
302000,178460
178000,178460
332000,178460
293200,178460
147000,178459
137500,178380
138000,175093
252000,184782
120875,178458
409900,178460
120000,178460
500000,178460
172500,178453
137500,178460
193000,179360
535000,178460
230000,178460
119000,178460
149900,178460
190000,178460
180000,178460
128000,178460
128500,174618
115000,178460
152000,178460
217000,178460
148800,178460
181000,178460
556581,178460
177500,178460
127000,178453
145000,178440
296000,178460
214000,178460
236500,178461
173000,178461
113000,177741
127500,178460
133000,178455
287602,178460
121000,178454
219500,178460
113000,176591
192000,178460
100000,178460
95541,178459
112500,175303
156000,178460
83500,176112
290000,181959
176000,178460
210400,178460
153000,178460
221000,178460
187000,178460
89000,178460
186500,178477
164000,178460
80000,178460
134000,178458
120500,178460
137000,178460
176000,178017
161000,178460
125000,178460
182000,178460
292500,178460
144750,178453
185000,178460
329900,178460
153337,175961
394432,178968
305900,178460
200000,178460
112500,178242
263000,178461
154000,178460
188000,178460
375000,178512
119000,167365
206900,178460
110500,178460
266500,178460
183900,175623
183500,178460
178400,178460
79275,177557
130500,178460
157000,178105
143000,178460
134900,157819
204000,178460
146500,178456
302000,178460
163000,178460
89500,178460
188700,178205
257500,178460
340000,178460
252000,178474
179900,178460
192000,181174
421250,178460
275500,178460
277500,178460
128000,178460
197000,178460
177500,178460
119916,178460
154000,178460
260000,178460
156500,178460
215000,178486
67000,178450
336820,178460
127000,178460
151500,178460
155891,178459
164990,178520
275000,178460
122500,178460
410000,178460
192140,178460
315000,178460
235000,178460
132000,178460
128900,178227
118500,178460
245700,178460
256000,178460
122250,178460
263400,178460
183000,178460
297900,178463
136905,178460
118000,178460
133900,178357
151000,178460
145900,178460
137500,178460
213250,178460
198000,179439
140000,178460
68104,178460
180400,178275
320000,178460
177000,178518
402861,178460
173000,178364
149900,147400
55000,150991
85000,178460
160000,178460
202500,178460
137000,178460
110000,169301
300000,178460
360000,178460
180500,178460
113700,178457
35311,178460
160000,178460
104000,178460
306000,178460
73000,130602
125000,178458
235000,178460
215000,178460
129850,178460
195000,178460
290000,178460
213750,178460
108000,178460
146300,178460
173000,178460
239000,178460
193000,178460
137000,178458
235000,178460
333168,178460
128000,178448
124100,177100
152000,178460
129500,178456
315000,178460
538000,178460
243000,178460
255900,178460
150500,178460
167000,187672
315000,178460
206000,178460
201000,178465
142000,178460
272000,178460
102776,178460
185000,178460
239900,178460
64000,178460
173000,178460
260000,178460
164000,171845
159000,178450
145500,178453
134500,178457
128500,178460
61500,178460
96000,178460
257000,178460
147983,178010
141500,178459
195000,178460
248000,178464
132000,178413
139950,178460
199000,178516
115500,178460
275500,178460
161750,178460
142000,178460
239000,178460
185000,178460
95000,178459
315000,178460
159000,178460
131000,178332
137000,178459
164700,178449
106500,177341
153000,177724
290000,178460
271000,178460
245500,178460
147500,178460
203000,178460
238500,178517
139000,178054
230000,178460
255000,178460
153000,178460
213490,178597
123000,178460
161500,178460
175000,178460
158000,178460
349265,178460
99800,178460
163000,178460
64500,178460
178900,178460
229456,178470
119000,178460
240000,178460
328900,178460
154000,178212
190000,178460
325000,178460
300000,178460
237000,179007
200000,178460
325000,178460
193000,178460
143450,178460
200100,178460
93850,178460
259500,178460
155000,178460
151500,178460
141500,178460
146000,178452
373000,178460
125900,178458
156000,178458
113000,178456
176485,178460
135000,178460
109500,177424
135000,178459
185000,178459
204750,178461
63900,178459
82500,178460
192000,178461
109500,175864
